1460596407.515724|ASW|30a24d4e77231f74|
1460596419.570034|G|998|
1460596419.570057|G_A|113|
1460596420.066794|G|999|
1460596420.066809|G_A|114|
1460596429.923493|ASW|d9dbe5251b3ea3a5|
1460596430.238235|ASW|d9dbe5251b3ea3a5|
1460596436.433345|G|999|
1460596436.433363|G_A|114|
1460596437.087521|ASW|5d1c5ff110b2c72a|
1460596457.084316|G|998|
1460596457.084347|G_A|113|
1460596457.690101|ASW|d9dbe5251b3ea3a5|
1460596460.171198|G|998|
1460596460.171219|G_A|113|
1460596460.767150|ASW|d867ae84449c714e|
1460596467.265989|G|998|
1460596467.266004|G_A|113|
1460596467.869256|ASW|bd2f4f60600c3fd9|
1460596468.459192|G|998|
1460596468.459212|G_A|113|
1460596469.059773|ASW|75b13df0f6072c8d|
1460596469.211341|G|998|
1460596469.211363|G_A|113|
1460596469.815626|ASW|4a14824c5a29c227|
1460596469.914541|G|998|
1460596469.914556|G_A|113|
1460596470.501348|ASW|19e8825a8aac2b7d|
1460596470.587443|G|998|
1460596470.587462|G_A|113|
1460596471.108431|G|999|
1460596471.108445|G_A|114|
1460596471.198058|ASW|75b13df0f6072c8d|
1460596471.698298|G|999|
1460596471.698315|G_A|114|
1460596472.313434|ASW|19e8825a8aac2b7d|
1460596475.250216|G|998|
1460596475.250229|G_A|113|
1460596475.840267|G|999|
1460596475.840281|G_A|114|
1460596475.874035|ASW|75b13df0f6072c8d|
1460596476.520127|ASW|19e8825a8aac2b7d|
1460596497.108049|G|999|
1460596497.108069|G_A|114|
1460596497.738256|ASW|4a14824c5a29c227|
1460596497.795211|G|998|
1460596497.795229|G_A|113|
1460596498.392656|ASW|19e8825a8aac2b7d|
1460596641.227935|ASL|enabling touch for internal trackpad (after clamshell)|
1460596643.772064|M|checking|
1460596643.772082|M|checking|
1460596648.046192|M|checking|
1460596656.229989|ASL|disabling touch for internal trackpad (clamshell)|
1460596663.375152|SLEEP|WILLSLEEP|
1460596663.376579|ASW|19e8825a8aac2b7d|
1460596664.524490|ASW|16b9e54c981844f2|
1460596691.721052|M|unregister internal trackpad|
1460596691.724801|M|register internal trackpad|
1460596691.725423|STDEV|67|
1460596691.725633|M|checking|
1460596691.725670|M|checking|
1460596693.876189|M|unregister internal trackpad|
1460596693.880809|M|register internal trackpad|
1460596693.881520|STDEV|67|
1460596693.881722|M|checking|
1460596693.881751|M|checking|
1460596697.173216|M|unregister internal trackpad|
